record_id,WCR,GP_MPa,grout_take_L_per_m,grouting_time_h,depth_m,section_length_m,pre_lugeon,acceptance_threshold_lu,post_lugeon,allowable_GP_MPa,min_WCR,max_WCR,max_grout_take_L_per_m,max_grouting_time_h
SYN-0001,1.4155564820542486,0.85148503382428,11.664565461205493,6.89322108296724,210.25631994747297,7.380782127295383,1.508084220474542,3.0,2.263533423101475,1.5,0.6,3.0,60.0,16.0
SYN-0002,1.111818490948192,1.0108371251006667,34.73408245777249,5.8923573615927065,190.2732845557324,6.815757878966486,1.5142218780182979,2.0,0.01,1.5,0.6,3.0,60.0,16.0
SYN-0003,0.6,0.6627172393492758,12.515093128826557,3.7249635058817647,128.82390216273367,6.7092244920473725,1.431491454256936,2.0,3.4807050588018917,1.5,0.6,3.0,60.0,16.0
SYN-0004,0.6,0.5995445024445429,15.2056665758208,3.151515708365467,220.40947525027235,5.487916552546053,0.23611494645656575,2.0,1.9575602222464608,1.5,0.6,3.0,60.0,16.0
SYN-0005,1.2961159466032146,0.9632150429734487,60.0,7.4341087341837495,104.62175463747343,6.244696930204535,0.9890602936789065,1.0,0.30298931040992216,1.5,0.6,3.0,60.0,16.0
SYN-0006,1.5690640489981842,0.3,3.5305690925905813,5.640965426807651,171.17922175630616,6.300010605304725,2.487220370258159,2.0,0.010537461221518434,1.5,0.6,3.0,60.0,16.0
SYN-0007,1.1936645153453913,0.7087746469162519,3.2900504767135033,4.391483076612745,215.6675583543135,7.499038965660267,2.1227441695348936,5.0,3.1529210711531093,1.5,0.6,3.0,60.0,16.0
SYN-0008,0.7006307375629865,0.6961233449666101,3.3641574679183037,6.088162920716638,222.7615188829243,7.1412582210954625,2.793970232557236,2.0,4.970966436682914,1.5,0.6,3.0,60.0,16.0
SYN-0009,1.5765822190060645,0.35859150755745806,4.284944371561536,2.8917254213927666,196.4181228282239,6.380317041657234,1.298958250448272,3.0,3.76986558186086,1.5,0.6,3.0,60.0,16.0
SYN-0010,0.871694071380337,0.7161477582794454,8.189636793068782,5.538240128980677,115.19848144445776,7.404813001144432,0.564717051020752,2.0,4.830972625248005,1.5,0.6,3.0,60.0,16.0
SYN-0011,1.4254944157989113,0.9499295900745816,31.44481321057109,5.0281165790995095,250.15904481422461,7.2490634618437175,0.9232699154308577,3.0,1.3153122341240695,1.5,0.6,3.0,60.0,16.0
SYN-0012,0.9696670587312531,1.1897931183668877,2.936972038458441,3.0173890208233223,57.8283621463913,6.678496705475503,0.5514802328642584,3.0,2.659226098079523,1.5,0.6,3.0,60.0,16.0
SYN-0013,0.8453553061233492,1.0784676974254437,9.069954471375404,1.7181530690812155,41.05737480028279,7.266087607298566,5.0698311718742,3.0,6.573409710930736,1.5,0.6,3.0,60.0,16.0
SYN-0014,0.7467624960415649,0.8884964562630355,60.0,7.751584791489538,219.40678925133219,5.8759509499520135,1.9858331370976081,2.0,1.0630526327312437,1.5,0.6,3.0,60.0,16.0
SYN-0015,0.6,0.5718720119450453,16.430455336416454,3.0538037428480713,197.16540595368264,6.559534520420184,2.5968332047134615,2.0,7.363527833212945,1.5,0.6,3.0,60.0,16.0
SYN-0016,0.8601221411530837,1.2513984932293059,41.73452534327441,4.710669578261525,131.52858762725288,7.079992205614071,1.1271907880262881,3.0,7.57936939765521,1.5,0.6,3.0,60.0,16.0
SYN-0017,2.039411313666273,0.49784938659049016,3.7664154188157704,5.845090609561216,199.52098302496324,6.699458652706443,1.4544105499840312,2.0,1.3214430088216518,1.5,0.6,3.0,60.0,16.0
SYN-0018,1.012991954738892,0.6710127161306592,29.51481548117138,5.1991184865277225,207.71691445505414,5.847918676597291,2.1020657481463068,2.0,12.127287370548759,1.5,0.6,3.0,60.0,16.0
SYN-0019,1.2627287959747246,0.3712335482301222,5.415046981866446,8.356978809550387,160.3104083600395,6.636637232561895,2.9305380794301104,3.0,2.7226119229866486,1.5,0.6,3.0,60.0,16.0
SYN-0020,1.0585356707166385,0.49935596703964846,4.9800411704134095,3.30602407469535,113.05263076884809,7.342234032708609,1.1550702065430127,2.0,1.7061355585649594,1.5,0.6,3.0,60.0,16.0
SYN-0021,1.0301155008174865,0.8485975518566861,42.55819854729254,2.617681419599626,232.12016250607863,4.599590936221636,1.4906944667885844,1.0,2.2908577655177775,1.5,0.6,3.0,60.0,16.0
SYN-0022,1.0504645762987046,1.0087237648866156,26.121179912682734,4.573648864326135,228.0346540329487,6.250006199640246,3.7488656349830505,0.6,1.8557511093685348,1.5,0.6,3.0,60.0,16.0
SYN-0023,1.1188683777937658,0.5994035550241457,17.540022642272618,5.919583078355281,175.2557624989578,6.427855804005146,2.2959511749755426,2.0,0.7063193989298964,1.5,0.6,3.0,60.0,16.0
SYN-0024,0.7470294962548347,0.8054109299094424,2.5969932562686937,4.856947490601321,158.5599121453648,7.517627459102236,1.0653352532573923,2.0,0.3218404169857604,1.5,0.6,3.0,60.0,16.0
SYN-0025,1.6900666187039843,1.2957744730017446,4.881307173973539,5.225682114532449,185.38154787239043,6.729971709530965,8.383882834612319,1.0,1.4894882900347217,1.5,0.6,3.0,60.0,16.0
SYN-0026,1.229102942725346,0.451815219206334,38.495281761457115,5.507857037393625,148.20433324445585,6.74158868656778,1.1793536615036788,2.0,10.541739972947301,1.5,0.6,3.0,60.0,16.0
SYN-0027,1.7709705703225889,0.3,25.792389370521054,4.720880985352455,221.6988601905988,6.706915394373955,0.7131682749876348,5.0,4.181349506786023,1.5,0.6,3.0,60.0,16.0
SYN-0028,0.664746150329909,1.1677232588858708,7.743821562435007,5.655873773485182,176.87609010587084,6.68316055633198,1.6688119468610887,1.0,0.01,1.5,0.6,3.0,60.0,16.0
SYN-0029,1.4876785854416819,0.6068527323513414,7.80018103380595,5.988578657858754,236.76980714152188,6.78060737974122,3.5549562633813863,1.0,1.3849271446832092,1.5,0.6,3.0,60.0,16.0
